Id,OrderedAt,UserId,StoreId
8ce46417-dc03-4fbd-8939-22adea2bd4eb,2023-03-25 08:42:59,776add90-5068-42af-88b0-5e3a98b8af95,15803113-897d-4ad7-843a-332be190e935
0243514e-6bb1-49f0-bd8c-cbf000acd86e,2023-05-16 21:33:44,c592f778-a9c1-4644-9497-d5423e5bd872,3717f5dc-57a4-4084-82cf-3d0718624cf3
9c785081-cbc2-4796-9f00-4799280dfc2d,2023-11-05 12:55:29,5b2abc57-3169-47fd-a21e-20606bf40146,c4c6fc37-6cc5-48c4-97e0-ab12e4b2bac4
2362f64d-8fe5-44d8-8859-17dd52779e48,2023-03-26 21:11:33,462333a1-8947-4f68-9e4e-9a597774ac45,892b089a-bff2-414f-b00f-86b50371f978
eb531e4e-eb76-4e60-a4d9-98a644a73d95,2023-09-05 21:51:50,d8237142-55eb-4226-b63b-0aa6bd3a49ec,b85f58be-2167-4e98-85c1-3c22429c5819
51c126cb-974b-4ca2-8e53-06fc661bad91,2023-05-13 18:40:20,f76f5191-5dea-43c8-802d-6f091e785ab6,ead0029f-0c08-4e5c-93dd-7926f8634541
1178438e-161a-4084-a560-383f980bdba1,2023-10-26 19:57:55,1b8a2a2d-1ac7-46fe-9a2d-7c05aee4267a,26ae2a03-dda4-41a1-b193-0607164d2a4f
f5137bed-78fd-466b-b313-949c96021a16,2023-10-27 08:46:51,dc453309-db7f-465f-a623-a0df4b14b126,6de35273-3a1a-4174-a961-fbd022df2303
e8f45f64-031c-496b-96d1-457811673951,2023-10-01 17:29:24,8e3f5572-0d27-47a7-9c21-bbed0464b6fd,3bbea5bf-835c-4c8c-a319-9b35e5ec40a3
c035ceb1-ed38-41e1-aa92-39781000c7e7,2023-09-24 15:15:36,d587a372-f980-4cc0-b628-6b8b402fcc33,6fadf108-0ebb-4e73-b3fb-63ad33a196a4
eece47d8-64d2-4804-81ac-29834a8f4e2b,2023-05-09 09:28:24,1893b7d2-bf08-4633-9a54-278f490155ca,62f4d9ed-3d47-4ef2-88b7-4dafdee7e69e
f4082776-f989-42d8-aec8-e4cc5ccd626f,2023-12-23 13:41:51,f6446164-f951-418f-ad21-b57a91f1077e,d81c6050-7bfa-441a-a334-28cd4bdd9e90
907eb95e-da88-4135-b744-e2b13944cde0,2023-04-11 19:50:30,4a276c12-5ac3-4f47-aa30-71b884cd1ba5,eadcf98f-4829-47d5-ba06-5cfcf25c04d6
5a800236-78e5-460c-8405-fc4a2a40cdb1,2023-02-24 00:52:30,ef95ade5-ccfa-4cca-8e27-1f528477a83d,09edb5ac-89df-4fa9-a1c7-a490ebc186b2
e12cc765-083d-452a-ab3b-c4de748f4238,2023-04-30 23:54:49,6b90799c-c285-45a4-b3dc-4e2c68b8c732,08e16275-be90-41a5-876d-f66be45e3bb0
3c9af4c6-846b-4a1b-8a40-1eb1b226b264,2023-07-08 02:18:46,ac1ebedb-d98b-4285-b380-52a86e8e76d7,3717f5dc-57a4-4084-82cf-3d0718624cf3
7226b937-57b8-411d-a137-50949d4605b7,2023-04-27 20:01:11,82f3e4c6-142e-4842-b720-2e12741e2cfc,8b3fb3a9-4cfc-4e9a-a7ab-a3a5ce1aeb04
